Purpose,"This file documents the filenames for ASIST Study 3, and inventories the files and quality control issues.",,,,,,,,,,,,,,,,,,,
Author,Jared Freeman and the ASU team,,,,,,,,,,,,,,,,,,,
Use,TA3 revises and publishes this document as a csv when new data are transferred to the ASIST data repository.,,,,,,,,,,,,,,,,,,,
,TA1 & TA2 performers should use this worksheet to assess the state of data in the ASIST repository and to interpret file names.,,,,,,,,,,,,,,,,,,,
References,The master version of this document is here: https://docs.google.com/spreadsheets/d/1PTPVqQ6JUC9IcgSB6dF9tTPIiYukVmkP237MBNyJDBo/edit#gid=1324771064,,,,,,,,,,,,,,,,,,,
,Data described below are available on GCS here: https://console.cloud.google.com/storage/browser/studies.aptima.com/study-3_2022,,,,,,,,,,,,,,,,,,,
,The study to which these files pertain is documented here: https://docs.google.com/document/d/1GF7VsNF9R95IAaj6mVZUDV2mAX5ok1Bh6Tcm8zDpIkg/edit#heading=h.gjdgxs,,,,,,,,,,,,,,,,,,,
,The researchers' laboratory notebook (available only to TA3): https://docs.google.com/document/d/1KMxxbdkZbCTmJwkK9wfsDyyruU1MPrB1Evvl11AhXwg/edit#heading=h.v16ui0ddz6nv,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Date Posted,Performer (Author),Valid,Condition ID,Agent Name,Team ID (significant issue in paranthese),Trial ID,Trial ID,Callsigns & Participant ID (UID),Map Order,Experiment Date,Experimenters,Notes,,,,,,,,
5/18/2022,TA3,Yes,2,Human Advisor,TM000232,T000663,T000664,"E000746, E000769, E000777",C-D,5/4/2022,MC/XY,"Server 1. Admin's obs video lost, so there are no trimmed video for the birds' eye view for hands-on training and boht missions.",,,,,,,,
5/18/2022,TA3,Yes,2,Human Advisor,TM000233,T000665,T000666,"E000756, E000784, E000797",C-D,5/5/2022,MC/MW,Malmo control for server 2 was not loading. Used Server 1. Trial failed to start correctly the first time for M1. The client map for Engineer was accidentally closed after trial start but before mission start so the trial needed to be restarted in order to reconnect the client map. No other issues.,,,,,,,,
5/18/2022,TA3,Yes,2,Human Advisor,TM000234,T000667,T000668,"E000755, E000765, E000788",C-D,5/5/2022,JC/MW,Malmo control for server 2 was not loading. Used Server 1. Medic had lag in Zoom and Parsec during hands on training then the speed became normal in both missions. Did not need to restart any of the trails. Dockerlogs lost.,,,,,,,,
5/18/2022,TA3,Yes,2,Human Advisor,TM000235,T000669,T000670,"E000750, E000800, E000803",C-D,5/5/2022,MC/AC,"Used server 1. Medic did not finish the one part of the competency test as Medic was stuck on one marker block mistake for some time. MC gave them a hint about what the marker block should be indicating. Because of this, Medic was not able to move the untreated victims to the wall in time. Medic seemed competent in Minecraft though. Advisor logged into client map after starting M1 trial but before participants joined server, so AC ended trial and refreshed client maps and started the trial again.",,,,,,,,
5/20/2022,TA3,Yes,7,UAZ,TM000236,T000671,T000672,"E000858, E000853, E000855",C-D,5/17/2022,NC/MW,"Used Server 1. The internvention sound sample on the agent intro slide was not heard because of cable connection issue. The sound appears in hands-on traing and Missions. Participants reported at the brief that they noticed the golden messages. For mission 1, Medic mission briefing slides were initially brought up for all three participant computers, the issue was soon corrected.",,,,,,,,
5/24/2022,TA3,Yes,5,DOLL,TM000238,T000675,T000676,"E000724, E000773, E000852",C-D,5/18/2022,MC/AC,"Used Server 1. Transporter had very loud feedback during the training video. Medic and Transporter got disconnected from Parsec when we were trying to launch the testbed, and Engineer reported that their internet connection was unstable. None of the participants could hear the ASI intervention Pling sample sound during the ASI agent intro slides but they can hear it in the hands-on training trial. We took more than 1 minute on the advisor slides because we were trying to troubleshoot. Training wav file for Medic and Engineer are missing. Missing_HSRData_ClientAudio_Trial-Training_Team-TM000238_Member-E000724_CondBtwn-ASI-DOLL-TA1_CondWin-na_Vers-1.wav; Missing_HSRData_ClientAudio_Trial-Training_Team-TM000238_Member-E000852_CondBtwn-ASI-DOLL-TA1_CondWin-na_Vers-1.wav",,,,,,,,
5/27/2022,TA3,Yes,6,SIFT,TM000239,T000677,T000678,"E000804, E000819, E000807",C-D,5/19/2022,NC/XY,Used Server 1. Audio files for medic were blanked. Medic's sounds were echoed in medic's view video. Medic reported a lag but later said it's playable. Medic's voice has an echo. Admin thought it was fixed but it was not. ,,,,,,,,
6/2/2022,TA3,Yes,8,USC,TM000242,T000683,T000684,"E000840, E000824, E000835",C-D,5/24/2022,JL/MW,Used Server 2. M1 - 280 : M2 - 610. Medic was using an external VPN which caused major lag - It was resolved once he disconnected from it.  Transporter was having audio trouble before the hands on training which resulted in an echo on his end - he successfully resolved it.  Medic's OBS video for the training mission was not captured because it was not restarted a second time after his disconnection - resolved before mission 1. Medic and Engineer had trouble with mouse towards end of Mission 2 reflection survey. Training audio files missing in WINscp for transporter and Engineer. Missing_HSRData_ClientAudio_Trial-Training_Team-TM000242_Member-E000824_CondBtwn-ASI-USC-TA1_CondWin-na_Vers-1.wav; Missing_HSRData_ClientAudio_Trial-Training_Team-TM000242_Member-E000835_CondBtwn-ASI-USC-TA1_CondWin-na_Vers-1.wav; Missing_HSRData_OBVideo_Trial-Training_Team-TM000242_Member-E000840_CondBtwn-ASI-USC-TA1_CondWin-na_Vers-1.mp4,,,,,,,,
6/2/2022,TA3,Yes,5,DOLL,TM000243,T000685,T000686,"E000747, E000838, E000842",C-D,5/24/2022,NC/XY,"Used Server 1. M1 - 530, M2 - 790. The first 16 seconds of the admin's OBS video for mission 2 were missing. Engineer has issue with audio and mouse so the obs video was cut into 3 parts. The entire admin OBVideo is silent for unknown reason. It is suggested to play the admin video along side with one member vieo so you can get the audio.",,,,,,,,
5/24/2022,TA3,Yes,3,CMURI,TM000245,T000689,T000690,"E000808, E000837, E000866",C-D,5/21/2022,NC/MW,"Used Server 2. M1 = 750, M2 = 810. No issues during run, very smooth and fast. Audio files for training mission Medic/Engineer not found in WinSCP. Missing_HSRData_ClientAudio_Trial-Training_Team-TM000245_Member-E000808_CondBtwn-ASI-CMU-TA1_CondWin-na_Vers-1.wav; Missing_HSRData_ClientAudio_Trial-Training_Team-TM000245_Member-E000866_CondBtwn-ASI-CMU-TA1_CondWin-na_Vers-1.wav",,,,,,,,
